"","id","condition","messageHow","messageRules","total_points"
"1",5,"hard","Collect as many as you can using the hints you are provided!","Using the arrow keys, work around the planet collecting diamonds. Fuse these together where possible, using the spacebar.",11000
"2",6,"hard","diamond and triangles, and squares and circles until you get a blue diamond or circle","Diamonds and triangles go together. Circles and squares go together",23015
"3",7,"medium","I suggest just try different combinations until you find one that works","Remember patterns that work well together",1000
"4",8,"easy","No idea reallly!","to pair up red shapes",100010
"5",9,"hard","diamond & circle combine","Combine diamond + triangle\ncircles and square go together",4
"6",10,"hard","Combine squares and circles, diamonds and traingles, ","The best way to maximise is combining diamonds and triangles and combining circles and squares",110000
"7",11,"hard","Diamond and triangle works best.  Circle and square next","Combine diamond and triangles.",11053
"8",12,"hard","Combine diamonds and triangles together, don't forget to alternate patterns as well, that seems to have an effect","Combine diamonds and triangles, then keep adding triangles\ncircles and squares combine as well",10010
"9",13,"hard","triangle and a diamond make good triangle","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.",1213
"10",14,"hard","Try item pair the items together, and if there are cluster of items, you will get more points.","Combine diamond and triangle to make a better diamond, then another triangle",1021
"11",15,"medium","Try and get a combo of a different shape and colour","Try and stick to the same combo once found",101
"12",16,"easy","try different variations","Merge gems of the same shape",152
"13",17,"easy","Match symbols of the same shape together","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.",232
"14",18,"easy","The shape of the item matters so fuse together the same shapes to get the different colours","Try and remember what colour and shape go together so i can harvest the most points. The same shape seems to harvest the most when fusing them",400040
"15",19,"medium","mix circles with squares and diamonds with triangles","triangles and diamonds\nsquares and circle",140
"16",20,"medium","I tried multiple combinations and none worked, ","A combination of shapes will multiply the points if they are the same. The actual shapes matter. Bank purple gems.",10
"17",21,"medium","you either match squares and circles, or triangles and diamonds. You can't match two with the same pattern. I started by matching a red triangle with a red diamond, to get an orange one (triangle or diamond), then match that with the opposite shape (so if it was an orange triangle i'd match with a diamond, and keep doing this until you get a purple gem and THEN press space to fuse/harvest for 100000 points","if two shapes mix, keep mixing the new crystal with the same shape to create new colours. Triangles combine with diamonds, squares only with circles etc. You can combine different colours or patterns too\nIf you get a purple gem don't forget to bank it",400202
"18",22,"easy","Just keep adding the same shapes together until they dont fuse anymore then collect them ","Shape of the gems are more important than colour, merging same shapr = new gems",310041
"19",23,"hard","Make sure to understand how to pick up shapes","Remember to combine crystals",1
"20",24,"easy","Merge like shapes with each other such as square with square, circle with circle etc. Wait until you get to the purple shape then press spacebar to obtain your points whilst holding the shape. ","Merge same shapes with each other. Hold off cashing out until I get to purple.",400040
"21",25,"hard","same pattern goes together dont mix different patterns","striped go together. circles do better\ndiamonds and triangles go together\ncircles and squares go together",130
"22",26,"hard","Fuse a diamond with a triangle, followed by multiple more triangles to get a blue diamond. Fuse a circle with a square, followed by multiple more squares to get a blue circle. Aim to fuse similar patterns.","I want to combine diamond and triangles, and circles and squares. Once combined, combine 2 more triangles (for first one) and 2 more squares (for second one).",40010
"23",27,"hard","Really hard from tips. but just when you find a high diamond, scroll over to see  what types you have already clicked and avoid similar. at times take a lot of hunting, start with red plain diamond and fuse with red triangle then orange diamond and red squared triangle fused , then green spotted diamond with red spotted triangle .","The one that makes the most points diamond and triangle and another triangle",0
"24",28,"medium","If you get a colour that is not red, mix it with something else before claiming it. You will get more points.","Triangle + diamond\nSquare + circle. \nKeep mixing new shapes",174
"25",29,"easy","Concentrate on picking up items of the same shape, collect as many as you can until you get to purple, when you should cash in for maximum points.","you need to merge gems of the same shape to make new gems. Pair up all of the same shapes first, when you have paired up enough to get to purple cash it in for points. Certain colours/patterns do not fuse together.",400021
"26",30,"medium","Remember to bank the points when reach purple\nTo fuse items you need to combine either:\nTriangle first, followed by only diamonds\nOR\nSquare first, followed by only circles\nThe only other rule is: Do not try to fuse like shaded items together - the shading patterns of the shapes must be different.","Bank on PURPLE\n\nTriangle + Diamond + Diamond + Diamond\n\nSquare + Circle + Circle + Circle",202011
"27",31,"hard","combine a solid red diamond with a patterned triangles until it goes blue then harvest, then move to a square and combine with circles until turns blue, then grab a triangle and combine with diamonds and finally get a circle and combine with the remaining squares","diamonds and triangles, circles and squares",40010
"28",32,"medium","focus on mixing circles with squares. Don't forget to bank the points when you hit a blue shape or better","aim for high value shapes, keep attempting the same shapes by fusing",10050
"29",33,"medium","Keep referring back to the list of Found Recipes on the right, as this will remind you what worked and what didn't. Remember you don't have to harvest crystals straight away. The big rewards come when you are carrying a high value crystal and succeed in merging it with another crystal to create one of even higher value.","triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern.\n\nOnce you get a purple gem don't forget to bank it as any other combinations won't increase value!\n\nAlways check out the hints for each block at the top, you can plan your moves this way before randomly trying to find out what works best.",1251
